unix,open,high,low,close,Volume USD
1527861600,7427.52,7443.92,7409,7422.05,224.45
1527865200,7422.05,7450,7383.45,7436.55,339.48
1527868800,7436.55,7454.05,7424.57,7438.99,177.64
1527872400,7438.99,7452.28,7398.36,7427.95,210.74
1527876000,7427.95,7431.98,7388.32,7398.99,200.99
1527879600,7398.99,7450,7397.07,7436.58,133.29
1527883200,7436.58,7449.93,7394.4,7434.11,216.96
1527886800,7434.11,7450,7426.58,7435.08,52.52
1527890400,7435.08,7521.99,7428.28,7517.29,212.42
1527894000,7517.29,7542.85,7502.09,7511.6,100.14
1527897600,7511.6,7531.83,7438.92,7468.3,239.36
1527901200,7468.3,7497.01,7457.39,7482.3,54.79
1527904800,7482.3,7508.67,7475.12,7488.79,105.93
1527908400,7488.79,7511.61,7481.12,7491.21,91.01
1527912000,7491.21,7500.99,7478.39,7479.39,135.93
1527915600,7479.39,7539,7479.39,7522.32,243.48
1527919200,7522.32,7676.27,7462.18,7660,797.41
1527922800,7660,7700,7636.75,7649.19,288.89
1527926400,7649.19,7696.98,7642,7649.29,196.64
1527930000,7649.29,7664.9,7620.02,7656.27,132.99
1527933600,7656.27,7671.11,7641.34,7652.98,98.94
1527937200,7652.98,7663.59,7601,7639.97,155.47
1527940800,7639.97,7646.63,7620,7630.63,178.64
1527944400,7630.63,7653.37,7620.9,7631.98,134.49
1527948000,7631.98,7643.68,7620,7642.6,124.75
1527951600,7642.6,7676.29,7581.03,7620.52,360.79
1527955200,7620.52,7641.4,7594.82,7627.48,119.26
1527958800,7627.48,7648.2,7616.66,7623.49,111.05
1527962400,7623.49,7657.94,7623,7645.58,151
1527966000,7645.58,7673.8,7644.36,7659.65,107.52
1527969600,7659.65,7659.99,7611.61,7611.61,82.03
1527973200,7611.61,7649.9,7611.61,7621,49.41
1527976800,7621,7632.43,7611.61,7623,27.03
1527980400,7623,7648.62,7623,7642,25.37
1527984000,7642,7660.52,7629.77,7646.38,65.29
1527987600,7646.38,7664.63,7620.1,7636.83,62.2
1527991200,7636.83,7647.24,7581.03,7638.72,233.63
1527994800,7638.72,7654.36,7612.22,7643.98,536.66
1527998400,7643.98,7646.91,7617.42,7634.07,131.55
1528002000,7634.07,7661.66,7630.29,7647.72,151.49
1528005600,7647.72,7790.69,7628.03,7723.65,673.56
1528009200,7723.65,7734.31,7704.48,7707.05,131.56
1528012800,7707.05,7763.62,7702.73,7738.98,180.31
1528016400,7738.98,7749.92,7722.01,7741.99,86.05
1528020000,7741.99,7746,7687.21,7690.03,245.74
1528023600,7690.03,7727.03,7690.03,7706.61,71.18
1528027200,7706.61,7722.3,7685.22,7717.4,123.71
1528030800,7717.4,7747.6,7710.21,7724.06,322.39
1528034400,7724.06,7726.8,7689.76,7716.53,140.15
1528038000,7716.53,7728.13,7701.6,7716.82,143.96
1528041600,7716.82,7730.99,7700.7,7708.58,95.52
1528045200,7708.58,7708.65,7676.27,7694.11,123.67
1528048800,7694.11,7703.15,7667.02,7675.99,120.76
1528052400,7675.99,7724.3,7643.06,7709.25,398.02
1528056000,7709.25,7731.45,7688.38,7723.99,215.42
1528059600,7723.99,7725.95,7667.5,7689.27,179.18
1528063200,7689.27,7709.9,7681.6,7705.58,208.52
1528066800,7705.58,7712.86,7685.3,7703.67,88.69
1528070400,7703.67,7764.44,7703.67,7707,260.56
1528074000,7707,7715,7650,7702.11,289.35
1528077600,7702.11,7706.41,7666.22,7682.99,248.76
1528081200,7682.99,7705,7676.81,7691.38,80.7
1528084800,7691.38,7703.71,7683.79,7699.45,154.68
1528088400,7699.45,7699.99,7594.75,7661.95,334.12
1528092000,7661.95,7664.9,7551,7577.5,495.49
1528095600,7577.5,7624.8,7571.77,7617.04,429.82
1528099200,7617.04,7617.34,7570.39,7609.86,361.94
1528102800,7609.86,7620,7576.6,7617.31,202.47
1528106400,7617.31,7624.45,7589.85,7600,163.5
1528110000,7600,7601.64,7486.98,7509.03,800.31
1528113600,7509.03,7537.69,7506.71,7526.3,247.92
1528117200,7526.3,7539.2,7493.32,7497.65,267.25
1528120800,7497.65,7507.38,7456.06,7489.98,690.21
1528124400,7489.98,7514.44,7479.88,7505,303.73
1528128000,7505,7511.99,7479.88,7488.91,182.08
1528131600,7488.91,7494.99,7449.68,7485.89,300.36
1528135200,7485.89,7505,7472,7503.75,162.79
1528138800,7503.75,7518.16,7482.12,7499.99,213.17
1528142400,7499.99,7530,7485.99,7529,162.67
1528146000,7529,7543.27,7520.15,7543.09,192.99
1528149600,7543.09,7543.09,7494.83,7505.28,127.28
